paper_id,title,abstract,category,year
18,Citation-Aware Summarization: Evidence Ranking and Optimization,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and robustness on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
19,Benchmarking Benchmark in Language Understanding,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and ablation on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
20,A Comparative Study of Document Retrieval for Scientific Workflows,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and scientific workflow on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
21,Transformer Retrieval for Language Understanding Study 21,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and benchmark on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
22,Long-Context Language Models: Summarization and Image Segmentation,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and dataset on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
23,Benchmarking Embedding Model in Language Understanding,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and generalization on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
24,A Comparative Study of Evidence Ranking for Scientific Workflows,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and embedding model on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
25,Terminology Grounding for Language Understanding Study 25,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and evaluation on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
26,Transformer Retrieval: Document Retrieval and Document Retrieval,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and transfer learning on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
27,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and uncertainty on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
28,A Comparative Study of Summarization for Scientific Workflows,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and robustness on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
29,Scientific Claim Verification for Language Understanding Study 29,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and ablation on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
30,Terminology Grounding: Evidence Ranking and Event Reconstruction,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and scientific workflow on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
31,Benchmarking Benchmark in Language Understanding,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and benchmark on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
32,A Comparative Study of Document Retrieval for Scientific Workflows,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and dataset on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
33,Citation-Aware Summarization for Language Understanding Study 33,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and generalization on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
34,Scientific Claim Verification: Summarization and Simulation Grid,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and embedding model on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
35,Benchmarking Embedding Model in Language Understanding,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and evaluation on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
36,A Comparative Study of Evidence Ranking for Scientific Workflows,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and transfer learning on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
37,Long-Context Language Models for Language Understanding Study 37,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and uncertainty on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
38,Citation-Aware Summarization: Document Retrieval and Optimization,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and robustness on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
39,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and ablation on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
40,A Comparative Study of Summarization for Scientific Workflows,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and scientific workflow on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
41,Transformer Retrieval for Language Understanding Study 41,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and benchmark on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
42,Long-Context Language Models: Evidence Ranking and Image Segmentation,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and dataset on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
43,Benchmarking Benchmark in Language Understanding,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and generalization on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
44,A Comparative Study of Document Retrieval for Scientific Workflows,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and embedding model on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
45,Terminology Grounding for Language Understanding Study 45,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and evaluation on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
46,Transformer Retrieval: Summarization and Document Retrieval,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and transfer learning on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
47,Benchmarking Embedding Model in Language Understanding,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and uncertainty on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
48,A Comparative Study of Evidence Ranking for Scientific Workflows,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and robustness on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
49,Scientific Claim Verification for Language Understanding Study 49,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and ablation on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
50,Terminology Grounding: Document Retrieval and Event Reconstruction,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and scientific workflow on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
51,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and benchmark on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
52,A Comparative Study of Summarization for Scientific Workflows,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and dataset on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
53,Citation-Aware Summarization for Language Understanding Study 53,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and generalization on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
54,Scientific Claim Verification: Evidence Ranking and Simulation Grid,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and embedding model on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
55,Benchmarking Benchmark in Language Understanding,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and evaluation on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
56,A Comparative Study of Document Retrieval for Scientific Workflows,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and transfer learning on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
57,Long-Context Language Models for Language Understanding Study 57,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and uncertainty on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
58,Citation-Aware Summarization: Summarization and Optimization,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and robustness on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
59,Benchmarking Embedding Model in Language Understanding,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and ablation on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
60,A Comparative Study of Evidence Ranking for Scientific Workflows,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and scientific workflow on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
61,Transformer Retrieval for Language Understanding Study 61,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and benchmark on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
62,Long-Context Language Models: Document Retrieval and Image Segmentation,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and dataset on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
63,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and generalization on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
64,A Comparative Study of Summarization for Scientific Workflows,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and embedding model on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
65,Terminology Grounding for Language Understanding Study 65,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and evaluation on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
66,Transformer Retrieval: Evidence Ranking and Document Retrieval,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and transfer learning on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
67,Benchmarking Benchmark in Language Understanding,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and uncertainty on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
68,A Comparative Study of Document Retrieval for Scientific Workflows,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and robustness on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
69,Scientific Claim Verification for Language Understanding Study 69,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and ablation on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
70,Terminology Grounding: Summarization and Event Reconstruction,"We study summarization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses evidence ranking, benchmark, and scientific workflow on ACL style tasks. Several experiments also touch on neighboring themes such as credible intervals and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2023
71,Benchmarking Embedding Model in Language Understanding,"We study citation context for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses tokenization, embedding model, and benchmark on EMNLP style tasks. Several experiments also touch on neighboring themes such as benchmark suite and document retrieval, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2024
72,A Comparative Study of Evidence Ranking for Scientific Workflows,"We study evidence ranking for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses document retrieval, generalization, and dataset on NAACL style tasks. Several experiments also touch on neighboring themes such as posterior predictive checks and image segmentation, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2025
73,Citation-Aware Summarization for Language Understanding Study 73,"We study tokenization for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses question answering, benchmark, and generalization on ACL style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and optimization, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2020
74,Scientific Claim Verification: Document Retrieval and Simulation Grid,"We study document retrieval for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses summarization, embedding model, and embedding model on EMNLP style tasks. Several experiments also touch on neighboring themes such as covariate shift and simulation grid, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2021
75,Benchmarking Generalization in Language Understanding,"We study question answering for language understanding with comparisons against strong baselines and shared evaluation datasets. The paper discusses citation context, generalization, and evaluation on NAACL style tasks. Several experiments also touch on neighboring themes such as representation learning and event reconstruction, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CL,2022
